,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Тульская область,,,-4.3,-5.4,-7.6,-10.8,-13.0,-12.1,-11.5,-11.5,-11.2,-13.7,-14.2,-14.3,-14.4,-14.7,-13.8,-14.2,-12.9,-12.0,-11.4,-9.9,-9.8,-8.3,-7.6,-7.5,-7.1,-6.6,-6.8,-7.6
Тюменская область,,,9.6,7.2,4.3,1.2,0.8,0.8,1.0,1.8,2.7,1.8,1.3,1.8,2.5,3.0,3.6,3.2,3.9,5.3,6.0,6.7,7.1,7.6,8.8,5.1,5.4,5.2,4.5,3.5
Удмуртия,,,5.3,3.8,1.3,-2.9,-4.5,-4.3,-3.6,-2.8,-1.8,-3.1,-3.5,-3.9,-4.3,-4.2,-3.7,-4.4,-3.0,-1.4,-0.7,0.6,0.3,1.0,2.4,1.9,1.7,1.7,1.2,-0.2
Ульяновская область,,,2.8,1.2,-0.5,-3.4,-4.1,-4.6,-4.6,-5.9,-5.1,-6.6,-7.5,-7.7,-8.0,-8.4,-7.8,-8.3,-7.7,-6.5,-5.0,-4.4,-5.1,-4.0,-2.7,-2.8,-2.7,-3.0,-3.2,-3.9
Хабаровский край,,,5.9,3.8,0.4,-2.8,-3.4,-3.9,-4.3,-4.0,-3.6,-5.4,-5.6,-5.5,-5.6,-5.5,-4.7,-5.4,-3.9,-2.6,-1.8,-1.1,-1.7,-1.6,0.2,0.6,0.7,0.9,0.3,-1.0
Хакасия,,,4.7,3.4,0.1,-3.9,-5.6,-4.1,-4.1,-4.3,-3.9,-5.3,-4.5,-5.4,-5.8,-6.0,-4.3,-5.9,-2.8,0.2,1.0,1.5,1.2,1.7,2.6,2.6,2.1,1.3,1.3,-0.2
Ханты-Мансийский автономный округ,,,12.9,10.3,,4.0,4.1,3.4,3.7,4.6,5.5,4.6,4.5,5.2,6.5,6.8,7.2,6.4,6.9,7.9,8.5,9.0,9.6,9.9,11.4,11.2,10.8,10.2,9.5,7.9
Челябинская область,,,2.7,1.2,,-4.5,-5.8,-5.9,-5.1,-4.6,-4.0,-5.9,-6.6,-6.3,-6.3,-6.1,-5.5,-5.9,-4.6,-3.1,-2.2,-1.3,-1.0,-0.6,0.2,0.2,0.4,0.0,-0.3,-1.5
Чечня,,,15.8,14.6,,,,,,,,,,,,18.4,19.6,19.8,18.9,22.4,24.8,23.8,24.3,23.7,20.7,19.8,19.2,18.2,16.6,17.4
Чувашия,,,5.7,4.2,,-1.8,-2.6,-2.9,-2.5,-2.9,-2.0,-4.4,-4.7,-5.2,-5.3,-5.2,-4.4,-5.1,-4.4,-2.9,-2.7,-1.1,-1.6,-0.7,0.7,0.9,0.6,0.7,0.0,-1.3
Чукотский автономный округ,,,10.1,8.4,,2.4,2.6,1.3,1.4,2.9,3.5,2.2,1.9,0.3,0.7,2.3,3.2,3.9,3.7,4.1,2.7,1.2,0.9,2.5,2.6,2.6,2.8,4.1,3.6,3.7
Якутия,,,12.7,11.0,,6.8,5.7,5.5,4.9,4.8,4.8,3.3,4.0,3.7,4.4,4.8,5.3,4.1,4.7,6.4,6.1,7.0,7.0,7.7,8.5,8.8,9.2,8.6,7.6,6.4
Ямало-Ненецкий автономный округ,,,13.1,11.3,,6.3,7.0,6.7,6.7,7.0,7.7,7.0,6.1,6.7,7.3,8.0,8.3,7.7,7.6,8.8,9.1,9.7,10.3,10.2,11.4,11.5,11.8,11.3,10.1,9.1
Ярославская область,,,-1.9,-3.7,,-9.9,-11.1,-9.8,-9.8,-9.3,-9.0,-11.6,-10.7,-11.5,-11.9,-11.7,-10.6,-10.7,-8.9,-7.6,-7.0,-5.7,-6.0,-4.7,-4.0,-3.7,-3.6,-3.4,-3.6,-4.7
